state_id,state_name,page,sno,place_address,telephone,voip,email
1,Andhra Pradesh,4,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,4,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,4,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,4,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,4,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,4,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,4,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,4,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,5,Andhra Pradesh
1,Andhra Pradesh,5,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,5,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,5,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,5,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,5,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,5,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,5,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,5,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,5,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,5,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,6,Andhra Pradesh
1,Andhra Pradesh,6,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,6,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,6,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,6,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,6,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,6,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,6,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,6,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,6,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,6,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,7,Andhra Pradesh
1,Andhra Pradesh,7,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,7,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,7,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,7,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,7,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,7,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,7,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,7,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,7,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,7,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,8,Andhra Pradesh
1,Andhra Pradesh,8,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,8,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,8,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,8,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,8,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,8,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,8,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,8,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,8,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,8,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,9,Andhra Pradesh
1,Andhra Pradesh,9,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,9,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,9,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,9,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,9,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,9,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,9,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,9,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,9,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,9,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
2,Assam (North East),1,Assam (North East)
2,Assam (North East),1,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),1,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),1,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),1,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),1,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),1,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),1,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),1,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),1,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),1,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),2,Assam (North East)
2,Assam (North East),2,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),2,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),2,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),2,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),2,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),2,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),2,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),2,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),2,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),2,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),3,Assam (North East)
2,Assam (North East),3,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),3,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),3,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),3,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),3,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),3,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),3,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),3,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),3,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),3,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),4,Assam (North East)
2,Assam (North East),4,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),4,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),4,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),4,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),4,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),4,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),4,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),4,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),4,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),4,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),5,Assam (North East)
2,Assam (North East),5,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),5,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),5,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),5,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),5,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),5,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),5,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),5,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),5,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),5,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),6,Assam (North East)
2,Assam (North East),6,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),6,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),6,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),6,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),6,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),6,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),6,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
2,Assam (North East),6,8,"ESIS Dispensary Doomdooma, Azad Road, Near Lotus School, PO & Dist : Doomdooma Pin- 786151",94350-36390,60374016 to 60374018,-
2,Assam (North East),6,9,"ESIS Dispensary DULIAJAN, C/o-Jiban Borah, Near Agcl  Maingate, Behind Indian Bank Complex, P.O-Duliajan, Dist. Dibrugarh",94350-35572,-,-
2,Assam (North East),6,10,"ESIS Dispensary Ghy Rifeinary, House No. 5, Banikanta Deka Path, Jubajyoti Nagar Path, 2 No. Mathghoria, Guwahati - 781020",86380-14855,63674016 to 63674018,-
2,Assam (North East),7,Assam (North East)
2,Assam (North East),7,1,"ESI Dispensary Amingaon, Opp. Military Camp, P.O- Amingaon, Guwahati-781031",98642-77739,63674013 to 63674015,-
2,Assam (North East),7,2,"Addl. ESI  Dispensary Tinsukia, P.0. Sukanpukhuri, Parbotiya, Dist. Tinsukia pin-786125",9435035572,60374013 to 60374015,-
2,Assam (North East),7,3,"ESIS Dispensary Bongaigaon, P.O. Dhaligaon, Dist. Bongaigaon-783380",9435202672,63664001 to 63664003,-
2,Assam (North East),7,4,"ESIS Dispensary Dhubri, Bidyapara, Dhubri-783301",94352-02672,63662001 to 63662003,-
2,Assam (North East),7,5,"ESIS Dispensary Dibrugarh, P.O. C.R.Building, Milannagar F.Lane, Dibrugarh-786125",94350-02848,60373001 to 60373001,mprasad[dot]shah28[at]gmail[dot]com
2,Assam (North East),7,6,"ESIS Dispensary Digboi, Dhaka line Digboi, Near rifenary gate, qtr no - 734, Assam, Pin 786171 dist -tinsukai",98598-28378,60374007 to 60374009,-
2,Assam (North East),7,7,"ESIS Dispensary Dispur, H. No. 8, Usha Nagar , Super Market, Guwahati-781006, Assam",98640-52996,63674007 to 63674009,-
